Year,Value
1950,26.25
1951,26.25
1952,26.25
1953,26.25
1954,26.25
1955,26.26
1956,26.27
1957,26.28
1958,26.29
1959,26.3
1960,26.29
1961,26.28
1962,26.25
1963,26.21
1964,26.18
1965,26.15
1966,26.13
1967,26.13
1968,26.14
1969,26.16
1970,26.18
1971,26.21
1972,26.23
1973,26.25
1974,26.26
1975,26.26
1976,26.26
1977,26.26
1978,26.25
1979,26.25
1980,26.24
1981,26.25
1982,26.25
1983,26.27
1984,26.29
1985,26.32
1986,26.34
1987,26.36
1988,26.37
1989,26.37
1990,26.37
1991,26.37
1992,26.37
1993,26.38
1994,26.39
1995,26.42
1996,26.45
1997,26.48
1998,26.52
1999,26.55
2000,26.59
2001,26.62
2002,26.65
2003,26.68
2004,26.7
2005,26.72
2006,26.74
2007,26.75
2008,26.77
2009,26.78
2010,26.8
2011,26.81
2012,26.83
2013,26.85
2014,26.86
