Year,Value
2015,26.94
2016,26.96
2017,26.98
2018,27.0
2019,27.03
2020,27.05
2021,27.08
2022,27.12
2023,27.15
2024,27.18
2025,27.21
2026,27.24
2027,27.26
2028,27.28
2029,27.3
2030,27.31
2031,27.33
2032,27.34
2033,27.35
2034,27.37
2035,27.38
2036,27.39
2037,27.41
2038,27.42
2039,27.44
2040,27.46
2041,27.48
2042,27.51
2043,27.53
2044,27.56
2045,27.58
2046,27.6
2047,27.6
2048,27.59
2049,27.57
2050,27.56
2051,27.54
2052,27.54
2053,27.55
2054,27.57
2055,27.6
2056,27.63
2057,27.66
2058,27.67
2059,27.68
2060,27.67
2061,27.67
2062,27.66
2063,27.66
2064,27.67
2065,27.69
2066,27.7
2067,27.71
2068,27.71
2069,27.7
2070,27.68
2071,27.66
2072,27.64
2073,27.63
2074,27.63
2075,27.65
2076,27.67
2077,27.69
2078,27.71
2079,27.71
2080,27.7
2081,27.68
2082,27.65
2083,27.63
2084,27.61
2085,27.6
2086,27.61
2087,27.62
2088,27.63
2089,27.64
2090,27.64
2091,27.64
2092,27.64
2093,27.64
2094,27.63
2095,27.62
2096,27.61
2097,27.6
2098,27.6
2099,27.59
2100,27.58
