Year,Value
1950,9.43
1951,9.39
1952,9.35
1953,9.32
1954,9.3
1955,9.28
1956,9.27
1957,9.27
1958,9.27
1959,9.28
1960,9.28
1961,9.28
1962,9.27
1963,9.25
1964,9.23
1965,9.2
1966,9.17
1967,9.13
1968,9.1
1969,9.08
1970,9.07
1971,9.09
1972,9.13
1973,9.2
1974,9.28
1975,9.35
1976,9.4
1977,9.42
1978,9.4
1979,9.36
1980,9.31
1981,9.28
1982,9.28
1983,9.32
1984,9.39
1985,9.48
1986,9.56
1987,9.62
1988,9.65
1989,9.64
1990,9.61
1991,9.57
1992,9.55
1993,9.55
1994,9.59
1995,9.65
1996,9.72
1997,9.79
1998,9.85
1999,9.89
2000,9.92
2001,9.95
2002,9.98
2003,10.02
2004,10.08
2005,10.17
2006,10.26
2007,10.34
2008,10.41
2009,10.44
2010,10.44
2011,10.42
2012,10.37
2013,10.31
2014,10.24
