Year,Value
2015,10.71
2016,10.67
2017,10.63
2018,10.6
2019,10.58
2020,10.58
2021,10.59
2022,10.61
2023,10.64
2024,10.67
2025,10.7
2026,10.72
2027,10.73
2028,10.73
2029,10.74
2030,10.75
2031,10.77
2032,10.8
2033,10.85
2034,10.9
2035,10.95
2036,10.98
2037,11.01
2038,11.02
2039,11.02
2040,11.03
2041,11.04
2042,11.06
2043,11.09
2044,11.13
2045,11.17
2046,11.2
2047,11.22
2048,11.21
2049,11.2
2050,11.17
2051,11.15
2052,11.14
2053,11.15
2054,11.17
2055,11.2
2056,11.23
2057,11.25
2058,11.25
2059,11.24
2060,11.22
2061,11.21
2062,11.21
2063,11.22
2064,11.26
2065,11.32
2066,11.36
2067,11.39
2068,11.39
2069,11.35
2070,11.28
2071,11.2
2072,11.14
2073,11.11
2074,11.13
2075,11.2
2076,11.29
2077,11.4
2078,11.48
2079,11.52
2080,11.51
2081,11.46
2082,11.4
2083,11.33
2084,11.28
2085,11.25
2086,11.26
2087,11.27
2088,11.29
2089,11.31
2090,11.31
2091,11.29
2092,11.27
2093,11.24
2094,11.21
2095,11.19
2096,11.19
2097,11.19
2098,11.21
2099,11.22
2100,11.24
